nconst,name,known_for_department,popularity,sex
nm0049055,William Bakewell,Acting,1.8259999999999998,female
nm0746168,Aurania Rouverol,Writing,1.66,0
nm0003546,Charles Rosher,Camera,1.62,female
nm0387000,George C. Hively,Editing,0.98,0
nm0473134,Hanns Kräly,Writing,1.036,female
nm0354313,William Haines,Acting,2.134,female
nm0700723,Irene Purcell,Acting,0.652,0
nm0335749,Charlotte Granville,Acting,0.6,male
nm0176699,Jack Conway,Directing,2.14,female
nm0257040,Alexander Engel,Acting,1.4,0
nm0345102,Alfred Grünwald,Writing,1.4,0
nm0369038,Frederic Hatton,Writing,0.84,female
nm0369036,Fanny Hatton,Writing,0.6,male
nm0059497,Max Barwyn,Acting,0.9890000000000001,female
nm0000017,Marlene Dietrich,Acting,2.035,male
nm0572142,Victor McLaglen,Acting,1.145,female
nm0167032,Gustav von Seyffertitz,Acting,1.22,female
nm0903049,Josef von Sternberg,Directing,1.96,female
nm0748034,Daniel Nathan Rubin,Writing,0.6,0
nm0168595,Lew Cody,Acting,0.652,female
nm0636161,Barry Norton,Acting,1.4,female
nm0287124,Garrett Fort,Writing,1.4,female
nm0151377,Helen Chandler,Acting,1.208,male
nm0543115,David Manners,Acting,1.4,female
nm0296859,Dwight Frye,Acting,1.534,female
nm0115218,Tod Browning,Directing,2.059,female
nm0005713,Karl Freund,Camera,1.4,female
nm0831290,Bram Stoker,Writing,1.6480000000000001,female
nm0213019,Hamilton Deane,Writing,0.6,0
nm0049721,John L. Balderston,Writing,1.5659999999999998,female
nm0898107,Carlos Villarías,Acting,1.008,0
nm0869830,Lupita Tovar,Acting,1.4,male
nm0959363,Pablo Álvarez Rubio,Acting,0.6,0
nm0577654,George Melford,Directing,1.286,female
nm0869801,Enrique Tovar Ávalos,Directing,0.98,0
nm0273239,Baltasar Fernández Cué,Writing,0.98,0
nm0623873,Seymour Nebenzal,Production,0.9940000000000001,female
nm0286993,Rudolf Forster,Acting,1.052,female
nm0502322,Lotte Lenya,Acting,1.0090000000000001,male
nm0624552,Carola Neher,Acting,1.4,male
nm0778306,Reinhold Schünzel,Acting,2.114,female
nm0655065,G.W. Pabst,Directing,1.4080000000000001,female
nm0106517,Bertolt Brecht,Writing,1.632,female
nm0486797,Léo Lania,Writing,0.648,0
nm0883335,Ladislaus Vajda,Writing,1.4,female
nm0051354,Béla Balázs,Writing,1.38,female
nm0912106,Frank Ware,Editing,0.6,female
nm0550620,Marian Marsh,Acting,1.216,male
nm0912478,H.B. Warner,Acting,1.556,female
nm0124236,Anthony Bushell,Acting,1.642,female
nm0919380,Louis Weitzenkorn,Writing,1.4,0
nm0604526,Byron Morgan,Writing,0.6,female
nm0005835,Sol Polito,Camera,0.6,female
nm0599766,Douglass Montgomery,Acting,0.84,female
nm0001366,Leslie Howard,Acting,2.174,female
nm0403595,Fannie Hurst,Writing,1.4,male
nm0950224,A.P. Younger,Writing,1.38,female
nm0055604,George Barnes,Camera,0.6759999999999999,female
nm0004290,Margaret Booth,Editing,0.6940000000000001,male
nm0166972,Colin Clive,Acting,1.052,female
nm0164883,Mae Clarke,Acting,2.29,male
nm0000472,Boris Karloff,Acting,1.79,female
nm0092900,John Boles,Acting,1.4,female
nm0001843,James Whale,Directing,1.166,female
nm0791217,Mary Shelley,Writing,1.778,male
nm0916811,Peggy Webling,Writing,0.6,male
nm0528351,John Lynch,Writing,0.732,0
nm0790454,Norma Shearer,Acting,1.11,male
nm0000022,Clark Gable,Acting,4.042,female
nm0113284,Clarence Brown,Directing,1.722,female
nm0820700,Adela Rogers St. Johns,Writing,1.38,0
nm0306731,Becky Gardiner,Writing,1.4,male
nm0242957,Philip Dunning,Writing,0.6,0
nm0267913,Dorothy Farnum,Writing,1.38,male
nm0534404,Glen MacWilliams,Camera,0.6,female
nm0579663,Adolphe Menjou,Acting,1.764,female
nm0002285,Pat O’Brien,Acting,1.943,female
nm0047720,Mary Brian,Acting,1.4,0
nm0002143,Edward Everett Horton,Acting,2.6660000000000004,female
nm0587277,Lewis Milestone,Directing,1.486,0
nm0372942,Ben Hecht,Writing,2.106,female
nm0531269,Charles MacArthur,Writing,1.4,female
nm0179993,Bartlett Cormack,Writing,1.052,0
nm0496468,Charles Lederer,Writing,1.476,female
nm0696679,Marie Prevost,Acting,1.078,male
nm0318105,John Gilbert,Acting,1.4809999999999999,female
nm0938464,Louis Wolheim,Acting,1.4,female
nm0404885,Leila Hyams,Acting,1.77,male
nm0656105,Anita Page,Acting,1.235,male
nm0663624,Ursula Parrott,Writing,0.6,0
nm0695292,Leonard Praskins,Writing,0.0,0
nm0005719,Merritt B. Gerstad,Camera,0.732,female
nm0337013,William S. Gray,Editing,0.6,0
nm0251945,Mihály Eisemann,Sound,0.6,0
nm0190771,Gyula Csortos,Acting,1.38,female
nm0434097,Gyula Kabos,Acting,0.6,0
nm0361859,Mici Haraszti,Acting,0.6,0
nm0272140,Éva Fenyvessy,Acting,0.98,0
nm0782804,Steve Sekely,Directing,1.4,female
nm0639130,Károly Nóti,Writing,1.4,female
nm0951866,István Zágon,Writing,0.6,0
nm0392096,William Holmes,Editing,0.6,female
nm0001766,Barbara Stanwyck,Acting,2.5980000000000003,male
nm0719686,James Rennie,Acting,1.38,female
nm0007220,Ricardo Cortez,Acting,2.468,female
nm0602096,Natalie Moorhead,Acting,1.4,male
nm0562845,Archie Mayo,Directing,1.8419999999999999,female
nm0280223,Edith Fitzgerald,Writing,0.982,0
nm0728307,Robert Riskin,Writing,1.4380000000000002,female
nm0857710,Harvey F. Thew,Writing,1.435,female
nm0005764,Robert Kurrle,Camera,1.38,female
nm0005904,Gregg Toland,Camera,1.065,female
nm0528908,Ben Lyon,Acting,1.052,female
nm0654530,Monroe Owsley,Acting,1.4,female
nm0448661,Barbara Kent,Acting,1.4,male
nm0564970,Leo McCarey,Directing,1.3880000000000001,female
nm0221865,Buddy G. DeSylva,Production,0.652,female
nm0114095,Lew Brown,Writing,1.4,female
nm0376575,Ray Henderson,Writing,1.4,0
nm0710888,Gerbert Rappaport,Directing,1.094,female
nm0334603,Alexander Granach,Acting,2.386,female
nm0436922,Fritz Kampers,Acting,1.334,female
nm0123972,Ernst Busch,Acting,0.98,female
nm0920918,Elisabeth Wendt,Acting,1.4,male
nm0001932,Richard Barthelmess,Acting,0.764,female
nm0113902,Johnny Mack Brown,Acting,0.708,female
nm0226189,William Dieterle,Directing,1.736,female
nm0766850,John Monk Saunders,Writing,1.4,female
nm0355284,Alexander Hall,Directing,1.4,female
nm0637790,Elliott Nugent,Directing,1.052,female
nm0710723,Samson Raphaelson,Writing,1.5619999999999998,female
nm0002001,Maurice Chevalier,Acting,3.137,female
nm0001055,Claudette Colbert,Acting,2.588,male
nm0394244,Miriam  Hopkins,Acting,1.505,male
nm0749476,Charles Ruggles,Acting,1.334,female
nm0523932,Ernst Lubitsch,Directing,3.517,female
nm0414885,Leopold Jacobson,Writing,0.6,0
nm0233791,Felix Dormann,Writing,0.6,0
nm0618169,Hans Müller,Writing,1.4,female
nm0883328,Ernest Vajda,Writing,1.56,female
nm0107539,Olga Breno,Acting,0.6,male
nm0721169,Tatiana Rey,Acting,0.6,0
nm0774231,Raul Schnoor,Acting,0.6,0
nm0670083,Brutus Pedreira,Acting,0.6,0
nm0670643,Mário Peixoto,Acting,0.98,female
nm0105393,Edgar Brasil,Crew,0.6,0
nm0764009,Carmen Santos,Acting,0.6,male
nm0000048,Peter Lorre,Acting,2.128,female
nm0927145,Ellen Widmann,Acting,0.6559999999999999,female
nm0484737,Inge Landgut,Acting,1.0190000000000001,male
nm0921532,Otto Wernicke,Acting,2.656,female
nm0000485,Fritz Lang,Directing,3.1,female
nm0902376,Thea von Harbou,Writing,2.3480000000000003,male
nm0005922,Fritz Arno Wagner,Camera,1.052,female
nm0266239,Paul Falkenberg,Editing,0.6,female
nm0715969,William Rees,Camera,0.6,female
nm0199841,Bebe Daniels,Acting,1.043,male
nm0226502,Dudley Digges,Acting,2.2680000000000002,female
nm0580916,Una Merkel,Acting,1.702,male
nm0298494,Maude Fulton,Writing,0.6,male
nm0391763,Brown Holmes,Writing,1.646,0
nm0399203,Lucien Hubbard,Production,0.98,female
nm0706926,Raimu,Acting,0.98,female
nm0294382,Pierre Fresnay,Acting,2.924,female
nm0153457,Fernand Charpin,Acting,1.4,female
nm0745600,Alida Rouffe,Acting,0.84,male
nm0466099,Alexander Korda,Production,1.025,female
nm0656528,Marcel Pagnol,Writing,1.837,female
nm0437419,Robert Kane,Production,0.6,female
nm0343040,Francis Gromon,Sound,0.6,0
nm0005821,Theodore J. Pahle,Crew,0.6,female
nm0006330,Georges Van Parys,Sound,0.6,female
nm0030246,Annabella,Acting,1.473,male
nm0499151,René Lefèvre,Acting,2.7439999999999998,female
nm0021342,Jean-Louis Allibert,Acting,0.6,female
nm0647378,Paul Ollivier,Acting,0.996,0
nm0163229,René Clair,Directing,1.4280000000000002,female
nm0077278,Georges Berr,Writing,0.6,0
nm0347058,Marcel Guillemaud,Writing,0.6,0
nm0076144,Armand Bernard,Acting,1.3940000000000001,0
nm0664163,Philippe Parès,Sound,0.6,0
nm0907900,Joseph Walker,Camera,0.732,female
nm0362742,Sam Hardy,Acting,1.7080000000000002,female
nm0580240,Beryl Mercer,Acting,0.0,male
nm0001008,Frank Capra,Directing,2.425,female
nm0842485,Jo Swerling,Writing,1.712,female
nm0576046,John Meehan,Writing,1.048,female
nm0169902,Harry Cohn,Production,0.6940000000000001,female
nm0000050,Groucho Marx,Acting,1.4040000000000001,female
nm0555617,Harpo Marx,Acting,1.411,female
nm0555597,Chico Marx,Acting,1.646,female
nm0572851,Norman Z. McLeod,Directing,1.534,female
nm0673279,S.J. Perelman,Writing,1.4,0
nm0426953,Will B. Johnstone,Writing,0.6,0
nm0790654,Arthur Sheekman,Writing,1.4,0
nm0790383,Al Shean,Acting,1.052,female
nm0679553,Friedrich Pflughaupt,Production,0.6,female
nm0927236,Dorothea Wieck,Acting,1.4,0
nm0007229,Hertha Thiele,Acting,1.22,male
nm0880946,Emilia Unda,Acting,1.138,0
nm0755985,Leontine Sagan,Acting,0.98,male
nm0296193,Carl Froelich,Directing,1.614,female
nm0935475,Christa Winsloe,Writing,0.6,0
nm0198887,Friedrich Dammann,Writing,0.652,0
nm0171372,Colette,Writing,0.6,male
nm0567515,Edward M. McDermott,Editing,0.6,female
nm0920074,William A. Wellman,Directing,1.3359999999999999,female
nm0673948,Grace Perkins,Writing,0.6,male
nm0448981,Charles Kenyon,Writing,1.012,female
nm0569222,Barney McGill,Camera,1.38,female
nm0936728,Grant Withers,Acting,1.67,female
nm0000802,Mary Astor,Acting,2.818,male
nm0867538,Regis Toomey,Acting,1.7930000000000001,female
nm0920465,William K. Wells,Writing,0.7659999999999999,0
nm0519227,Walter Long,Acting,1.7080000000000002,female
nm0491048,Stan Laurel,Acting,3.227,female
nm0001316,Oliver Hardy,Acting,1.66,female
nm0549293,June Marlowe,Acting,0.98,male
nm0524306,Wilfred Lucas,Acting,1.178,female
nm0663613,James Parrott,Directing,2.7439999999999998,female
nm0907778,H.M. Walker,Writing,2.588,female
nm0828452,Jack Stevens,Camera,0.6,female
nm0193015,Richard C. Currier,Editing,1.4,female
nm0278006,James Finlayson,Acting,1.442,female
nm0505164,William LeVanway,Editing,0.6,female
nm0000036,Buster Keaton,Acting,2.682,female
nm0339307,Charlotte Greenwood,Acting,1.442,male
nm0219666,Reginald Denny,Acting,1.5659999999999998,female
nm0781292,Edward Sedgwick,Directing,2.188,female
nm0841608,Mark Swan,Writing,0.6,female
nm0394267,Robert E. Hopkins,Writing,0.6940000000000001,female
nm0809079,Leonard Smith,Camera,0.648,female
nm0644697,Jack Ogilvie,Editing,0.84,female
nm0832011,Lewis Stone,Acting,1.4,female
nm0380965,Jean Hersholt,Acting,2.69,female
nm0731910,John S. Robertson,Directing,1.4,female
nm0503693,Gaston Leroux,Writing,1.4,female
nm0562372,Edwin Justus Mayer,Writing,1.216,female
nm0001318,Jean Harlow,Acting,1.561,male
nm0949835,Loretta Young,Acting,1.913,male
nm0931551,Robert Williams,Acting,0.98,female
nm0387561,Halliwell Hobbes,Acting,1.672,female
nm0151310,Harry Chandlee,Writing,1.4,0
nm0161428,Douglas W. Churchill,Writing,1.4,0
nm0285922,Wallace Ford,Acting,2.103,female
nm0302480,"Richard ""Skeets"" Gallagher",Acting,1.4,female
nm0783629,Edgar Selwyn,Writing,2.084,female
nm0168829,Lenore J. Coffee,Writing,1.4,male
nm0626308,Conrad A. Nervig,Editing,0.9940000000000001,female
nm0599910,Robert Montgomery,Acting,2.823,female
nm0291548,Sidney Franklin,Directing,1.4,female
nm0002021,Noël Coward,Writing,1.383,female
nm0770337,Richard Schayer,Writing,1.048,female
nm0082915,Ray Binger,Crew,0.6,female
nm0940589,Edward Woods,Acting,0.0,female
nm0222354,Devereaux Jennings,Camera,0.6,female
nm0548929,Owen Marks,Editing,0.6,female
nm0533108,Dorothy Mackaill,Acting,1.5819999999999999,male
nm0007219,Donald Cook,Acting,1.052,0
nm0363753,Ralf Harolde,Acting,1.5430000000000001,female
nm0942046,John Wray,Acting,1.7080000000000002,female
nm0104355,Houston Branch,Writing,1.4,0
nm0413711,Joseph Jackson,Writing,0.6,female
nm0403636,Paul Hurst,Acting,1.601,female
nm0384276,George W. Hill,Directing,1.4,0
nm0921098,Harold Wenstrom,Camera,0.6,female
nm0786568,Blanche Sewell,Editing,1.094,male
nm0708081,Marjorie Rambeau,Acting,1.569,male
nm0358076,Neil Hamilton,Acting,1.306,female
nm0001870,Robert Young,Acting,1.8630000000000002,female
nm0461241,Edward Knoblock,Writing,0.98,0
nm0374934,Tom Held,Editing,0.6,female
nm0550215,Rene Marrison,Editing,0.0,0
nm0350324,Edmund Gwenn,Acting,1.4,female
nm0260728,Jill Esmond,Acting,1.4,male
nm0289795,C. V. France,Acting,0.728,female
nm0370848,Helen Haye,Acting,1.4,male
nm0000033,Alfred Hitchcock,Directing,6.172999999999999,female
nm0303335,John Galsworthy,Writing,0.982,0
nm0720904,Alma Reville,Writing,1.092,male
nm0185055,Jack E. Cox,Camera,0.9940000000000001,female
nm0591791,Sam Mintz,Writing,0.648,female
nm0176851,Robert Coogan,Acting,0.652,female
nm0338191,Mitzi Green,Acting,0.6,0
nm0780684,Jackie Searl,Acting,1.7080000000000002,female
nm0851537,Norman Taurog,Directing,1.736,female
nm0189034,Percy Crosby,Writing,0.6,female
nm0000581,Joseph L. Mankiewicz,Writing,2.275,female
nm0460477,Evalyn Knapp,Acting,1.048,male
nm0337586,Alfred E. Green,Directing,1.27,female
nm0094135,Beulah Bondi,Acting,1.5530000000000002,male
nm0723418,Elmer Rice,Writing,0.98,female
nm0071796,Hugh Bennett,Editing,1.4,0
nm0001256,Greta Garbo,Acting,2.226,male
nm0587534,John Miljan,Acting,1.4,female
nm0075960,Paul Bern,Writing,1.38,female
nm0186118,Mildred Cram,Writing,1.62,male
nm0000858,John Barrymore,Acting,1.556,female
nm0187981,Donald Crisp,Acting,2.32,female
nm0281955,Bramwell Fletcher,Acting,0.73,female
nm0238900,George du Maurier,Writing,0.6,female
nm0018470,J. Grubb Alexander,Writing,1.4,0
nm0005677,Floyd Crosby,Camera,1.38,female
nm0156617,Anne Chevalier,Acting,0.6,male
nm0558038,Matahi,Acting,0.6,0
nm0386979,Hitu,Acting,0.6,0
nm0051447,Bill Bambridge,Directing,0.6,0
nm0003638,F.W. Murnau,Directing,1.742,female
nm0280904,Robert J. Flaherty,Directing,0.6,female
nm0880618,Edgar G. Ulmer,Directing,1.4,female
nm0006252,Hugo Riesenfeld,Sound,0.6,female
nm0366414,Lorenz Hart,Writing,0.6,female
nm0087434,Sally Blane,Acting,1.052,0
nm0125636,Edward Buzzell,Directing,1.4,female
nm0397963,Dorothy Howell,Writing,0.652,male
nm0006256,Richard Rodgers,Sound,0.652,female
nm0645438,Tokihiko Okada,Acting,0.972,0
nm0944941,Emiko Yagumo,Acting,0.6,0
nm0837424,Hideo Sugawara,Acting,0.84,0
nm0847301,Hideko Takamine,Acting,2.285,male
nm0654868,Yasujirō Ozu,Directing,3.658,female
nm0457560,Komatsu Kitamura,Writing,0.6,0
nm0633792,Kōgo Noda,Writing,2.145,female
nm0595954,Hideo Shigehara,Camera,0.84,0
nm0002048,Melvyn Douglas,Acting,1.294,female
nm0804375,Alison Skipworth,Acting,1.4,male
nm0332036,Ferdinand Gottschalk,Acting,1.905,female
nm0369093,Lily Hatvany,Writing,0.6,0
nm0401738,Cyril Hume,Writing,1.798,female
nm0002503,Harry Carey,Acting,0.84,female
nm0095693,Edwina Booth,Acting,0.6940000000000001,male
nm0719121,Duncan Renaldo,Acting,1.4,0
nm0648448,Mutia Omoolu,Acting,0.6,0
nm0886754,W.S. Van Dyke,Directing,1.686,female
nm0507180,Ethelreda Lewis,Writing,0.6,0
nm0886861,Dale Van Every,Writing,1.13,0
nm0627454,John T. Neville,Writing,1.5319999999999998,female
nm0249186,Arthur Edeson,Camera,1.048,female
nm0515967,Doris Lloyd,Acting,1.4,male
nm0449694,Frederick Kerr,Acting,1.411,female
nm0792845,Robert E. Sherwood,Writing,1.4,female
nm0506349,Benn W. Levy,Writing,0.6,female
nm0179690,Raymond Cordy,Acting,1.614,female
nm0545384,Henri Marchand,Acting,0.6,female
nm0289840,Rolla France,Acting,0.6,0
nm0166622,Frank Clifford,Production,0.6,0
nm0494386,René Le Hénaff,Editing,0.6,0
nm0404158,Walter Huston,Acting,1.5019999999999998,female
nm0425512,Kay Johnson,Acting,0.611,male
nm0191870,Constance Cummings,Acting,1.09,male
nm0245385,Allan Dwan,Directing,0.75,female
nm0624756,Roy William Neill,Directing,1.4,female
nm0006388,David O. Selznick,Production,1.128,female
nm0362267,Ann Harding,Acting,1.052,male
nm0001485,Myrna Loy,Acting,1.68,male
nm0307326,William Gargan,Acting,1.756,female
nm0341486,Edward H. Griffith,Directing,1.7,female
nm0002030,George Cukor,Directing,2.17,female
nm0413590,Horace Jackson,Writing,1.4,female
nm0058129,Philip Barry,Writing,0.6,female
nm0933133,Carey Wilson,Writing,1.62,female
nm0605904,Karen Morley,Acting,1.694,male
nm0495728,Maurice Leblanc,Writing,1.38,female
nm0188544,Francis de Croisset,Writing,0.6,female
nm0892045,Bayard Veiller,Writing,0.828,female
nm0677125,Dorothy Peterson,Acting,1.5530000000000002,male
nm0102643,Charles Brabin,Directing,0.84,female
nm0005661,Norbert Brodine,Camera,0.6,female
nm0061640,Anne Bauchens,Editing,1.048,male
nm0730837,Arthur Roberts,Editing,0.6,female
nm0000031,Katharine Hepburn,Acting,2.8810000000000002,male
nm0000992,Billie Burke,Acting,1.7080000000000002,male
nm0340799,Harry Wagstaff Gribble,Writing,0.6,female
nm0199304,Clemence Dane,Writing,0.6,male
nm0000070,Max Steiner,Sound,1.7080000000000002,female
nm0003123,Dolores del Río,Acting,2.072,male
nm0566948,Joel McCrea,Acting,2.351,female
nm0356568,John Halliday,Acting,2.26,female
nm0876445,Richard Walton Tully,Writing,0.6,0
nm0740537,Wells Root,Writing,1.597,female
nm0005862,Hans Schneeberger,Crew,0.98,female
nm0726166,Leni Riefenstahl,Acting,1.96,male
nm0927436,Mathias Wieman,Acting,1.052,0
nm0299777,Beni Führer,Acting,0.6,0
nm0392774,Max Holzboer,Acting,0.6,0
nm0562346,Carl Mayer,Writing,1.38,female
nm0812399,Harry R. Sokal,Production,0.84,female
nm0005959,Giuseppe Becce,Sound,0.98,female
nm0000026,Cary Grant,Acting,3.385,female
nm0003339,Herbert Marshall,Acting,2.188,female
nm0601129,Dickie Moore,Acting,1.4,female
nm0299154,Jules Furthman,Writing,2.134,female
nm0491076,S.K. Lauren,Writing,1.4,0
